district_id,total_co2_kg,intensity_kg_m2,avg_income,cum_emissions,cum_share,pareto_flag
09,126770929.17160021,32.5986931693446,76278.43500866552,126770929.17160021,0.16126452819675105,1
05,76719950.71870002,29.33550586449146,73042.09391949758,203490879.8903002,0.25885951102741117,1
16,68989647.72450009,29.714353937819833,50719.3658919598,272480527.61480033,0.34662082242153774,1
11,53194780.49669993,37.27325372715854,26318.936387809368,325675308.11150026,0.41428957925235715,1
06,53081961.51159982,35.140418991510806,35588.32368775235,378757269.6231001,0.48181481973820156,1
01,44235201.75299999,30.271105617270507,41552.884076847935,422992471.37610006,0.5380861509258862,1
10,40007221.520800084,39.50717603317409,27800.41748495407,462999692.8969002,0.5889790941674831,1
08,39635980.90355001,27.813595672976962,55089.112776025235,502635673.8004502,0.639399784477122,1
15,38788765.61849999,36.40577466942803,32015.1398456057,541424439.4189502,0.6887427373739529,1
12,36234480.08910001,36.44425174437054,24595.014902204286,577658919.5080502,0.7348363991795992,1
13,33654457.66939994,38.79824968873854,22819.746759979265,611313377.1774502,0.7776480301523977,1
03,26988569.774399966,32.234454163718375,51769.88182973317,638301946.9518502,0.8119800256644155,0
02,23054499.775499973,22.87634633940299,38164.719525750275,661356446.7273501,0.8413075146510703,0
04,22860159.159799993,27.510403950524214,68397.4911051213,684216605.88715,0.870387784122138,0
20,21582050.36819996,30.13931583186546,31201.79151624549,705798656.25535,0.8978421791706677,0
07,18358685.220000017,31.85979924285909,62608.248707639286,724157341.47535,0.9211961510131271,0
18,17691958.84699999,19.434471862604696,28973.209836065573,741849300.32235,0.9437019842903747,0
14,13702164.243999995,39.3753148816417,31537,755551464.56635,0.9611324241122046,0
17,13178894.534599982,29.20319993449779,23780,768730359.10095,0.977897215718332,0
21,10979435.319900004,30.20057408770252,47655,779709794.42085,0.9918640886307621,0
19,6395684.503400001,29.008158259373804,30525,786105478.92425,1,0
