postal_code,district_id
28001,04
28002,05
28003,07
28004,01
28005,02
28006,05
28007,03
28008,09
28009,03
28010,07
28011,10
28012,01
28013,01
28014,03
28015,01
28016,05
28017,15
28018,13
28019,11
28020,06
28021,17
28022,20
28023,09
28024,10
28025,11
28026,12
28027,15
28028,04
28029,06
28030,14
28031,18
28032,19
28033,16
28034,08
28035,08
28036,05
28037,20
28038,13
28039,06
28040,09
28041,12
28042,21
28043,16
28044,10
28045,02
28046,05
28047,11
28048,08
28049,08
28050,08
28051,18
28052,18
28053,13
28054,11
28055,16
