postal_code,renta_bruta_media
28001,130622
28002,56107
28003,56647
28004,45536
28005,38964
28006,89852
28007,45050
28008,53825
28009,56978
28010,69669
28011,28888
28012,32660
28013,53529
28014,62929
28015,43641
28016,71246
28017,26844
28018,24311
28019,26471
28020,46009
28021,23780
28022,34859
28023,100415
28024,28013
28025,24380
28026,24028
28027,37393
28028,43310
28029,33160
28030,31537
28031,27970
28032,30525
28033,41903
28034,50234
28035,61174
28036,93099
28037,26960
28038,23108
28039,29980
28040,50339
28041,25195
28042,47655
28043,55586
28044,26209
28045,37422
28046,73952
28047,27354
28048,30830
28049,56874
28050,53207
28051,31487
28053,21120
28054,33397
28055,60644
